customclassif,No.Total_Nuclei
Neuroepithelial cells,68
Oligodendrocytes,219
Non myelinating Schwann cells,466
Neuroblasts,2117
Radial glial cells,3379
Neural Progenitor cells,7969
GABAergic neurons,9837
Immature neurons,10654
Mature neurons,11724
