customclassif,No.Total_Nuclei
Microglial cells,535
Endothelial cells,628
Oligodendrocytes,2494
Neural Progenitor cells,2679
Oligodendrocyte precursor cells,5094
GABAergic neurons,5900
Mature neurons,5979
Radial glial cells,7483
Neuroblasts,7978
Astrocytes,9805
Immature neurons,12731
