"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,NA,NA,"Cacna2d3",NA,NA,"Znf219",NA,NA,NA,NA,NA
NA,NA,NA,"Nrgn",NA,NA,"Zfp687",NA,NA,NA,NA,NA
NA,NA,NA,"6330405h19",NA,NA,"Zmpste24",NA,NA,NA,NA,NA
NA,NA,NA,"Clstn3",NA,NA,"Znrf3",NA,NA,NA,NA,NA
NA,NA,NA,"Camta1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"6-sep",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cdh9",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Htr1b",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cxcl12",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"St8sia2",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"D130043k22Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Slc7a14",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Grm7",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Dpp10",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ccl27",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Matk",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Pcp4",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Meg8",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Caly",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Au067824",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"3526401b18Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Slc6a15",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Chgb",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Aw060394",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ly6h",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"1500031i19Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Pcdha1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Nsg2",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"2310010m24Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Dgkg",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Loc554327",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Kcnq5",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Scn3a",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Hs3st6",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Rnf165",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ache",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Vstm2a",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Kcnip4",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Tubb3",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"1500016o10Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Kcna4",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Tmod3",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"A830018l16Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cplx1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Arpp21",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cers6",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Rab15",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"3110006e14Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"A830006f12Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Rab3c",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Slco5a1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Pcdha11",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Isl1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Adcy7",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Col19a1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Actl6b",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Elavl4",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Neto1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Fmnl3",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ccbe1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Calb2",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Fkbp1b",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Grin1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Mctp1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"B230209c24Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ai593442",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Ddn",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Epb4.9",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"C730029a08Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Synpr",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"B230343j05Rik",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cyp4x1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Aw555464",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Nprl3",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Nxph2",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Calca",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Olfm1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Foxp1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cdhr1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Tmsb10",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Cdkl2",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Rassf5",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Grb10",NA,NA,NA,NA,NA,NA,NA,NA
