"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,"Gulp1",NA,"Vgf","Itpka","Rcan3","Chrdl1","Cd86","Scd","Ifit2","Ly6a","Tpx2"
NA,"Hes1",NA,"Tmem130","Lhx2","Pde5a","Chst11","Ptafr","Mag","Lrrc4c","Pecam1","Top2a"
NA,"Hnmt",NA,"Camk4","Islr2","Rnf144b","Chst2",NA,"Slc48a1","Efs","Slc39a8","Ndc80"
NA,"Hopx",NA,"Asph","Tnfrsf19","Lbh","Chkb",NA,"Kif5a","St8sia1","Csrp2","Cks2"
NA,"Hs6st2",NA,"C030017b01Rik","Kcnk4","Gm15881","Cldn10",NA,"Slain1","Adam9","Egfl7","Nuf2"
NA,"Id4",NA,"Slc6a7","Satb2","Htra1","Clybl",NA,"Nkain1","Sorcs1","Hmgcs2","Cks1b"
NA,"Idi1",NA,"Olfr1344","Nrn1","Ubash3b","Cmbl",NA,"Gss","Olig2","Fcgr1b","Mki67"
NA,"Il6st",NA,"Ica1l","Neurod2","Zfp804a","Nat8",NA,"Nkain2","Nmnat2","8430408g22Rik","Tmpo"
NA,"Itm2c",NA,"Myo5b","Cdh18","Dpysl5","Cmya5",NA,"Lgi3","Tmem255a","Adamtsl2","Cenpf"
NA,"Kiaa1217",NA,"Nell1","Tafa1","Ank1","Cntfr",NA,"Plp1","Tacc2","2610019f03Rik","Tacc3"
NA,"Ldha",NA,"Nefm","Cfap65","Cd164l2","Col16a1",NA,"Fah","Scrg1","Ptprb","Fam64a"
NA,"Lect1",NA,"Nefl","Khdrbs2","Igsf3","Cry2",NA,"Efnb3","Spsb4","Egfl8","Smc4"
NA,"Lgals3",NA,"Ttr","Olfr539","Ebf4","Cspg5",NA,"Stmn4","Chst11","Arhgap29","Ccnb2"
NA,"Lgals3bp",NA,"6330527o06Rik","Neurod6","Adss1","Vsig2",NA,"S100b","Cspg5","Pltp","Ckap2l"
NA,"Lifr",NA,"Cdh8","Rgs14","Mtss1","Ctnnbip1",NA,"Adi1","Ppp1r14c","Slc16a1","Ckap2"
NA,"Lipg",NA,"Sv2b","Lingo1","Adra1a","Cyp2j9",NA,"Map6d1","Nkx2-2","Rasip1","Aurkb"
NA,"Loc100507206",NA,"Gap43","Rasal1","Gm13889","Cyp4f14",NA,"Endod1","C1orf21","Il2rg","Bub1"
NA,"Lrig3",NA,"Trhde","Mast3","Inpp5j","Cyp4v3",NA,"Gal3st1","Sox10","Rhoj","Kif11"
